,Country Code,year,LE,GNIPPPconst
0,ABW,2000,72.939,54321.72479674801
1,AFE,2000,52.55734186267767,3785.33893883346
2,AFG,2000,55.005,1439.1067266744108
4,AGO,2000,46.501,5829.293070073562
5,ALB,2000,74.826,7468.781746031752
7,ARB,2000,66.89069989493441,18111.85950800873
8,ARE,2000,76.347,177483.757442896
9,ARG,2000,73.91,20384.30920441349
10,ARM,2000,72.88048780487806,4754.5171602787495
12,ATG,2000,74.819,33445.568989547064
13,AUS,2000,79.23414634146343,47035.10845915606
14,AUT,2000,78.1268292682927,52773.31882500972
15,AZE,2000,65.377,6157.190805265201
16,BDI,2000,47.617,965.4766647309337
17,BEL,2000,77.72195121951219,51935.35794618665
18,BEN,2000,56.594,3042.16232094464
19,BFA,2000,50.808,1639.4886759581893
20,BGD,2000,62.049,2823.563830816882
21,BGR,2000,71.66341463414635,11421.771109175386
22,BHR,2000,74.673,81172.90600077435
23,BHS,2000,72.481,45504.91902826175
24,BIH,2000,75.292,8361.392247386766
25,BLR,2000,68.91219512195123,10510.944066976392
26,BLZ,2000,68.911,13097.692866821535
28,BOL,2000,62.057,7323.049419279912
29,BRA,2000,69.584,16085.205565234237
30,BRB,2000,74.58,28272.071389856777
31,BRN,2000,74.017,133144.69702864895
32,BTN,2000,61.842,5665.344202477743
33,BWA,2000,52.263,16030.555942702296
34,CAF,2000,46.609,1147.6420731707326
35,CAN,2000,79.16682926829269,52062.87373209451
36,CEB,2000,72.71972472277906,18013.885501874134
37,CHE,2000,79.68048780487806,71099.15891405348
39,CHL,2000,77.128,16485.969463801794
40,CHN,2000,72.288,5337.446467286106
41,CIV,2000,51.393,3260.760811072399
42,CMR,2000,53.338,3625.0916279519965
43,COD,2000,51.887,746.8781746031752
44,COG,2000,55.371,4882.032946186609
45,COL,2000,70.905,12077.566579558663
46,COM,2000,58.941,3169.6781068524997
47,CPV,2000,68.117,5556.044957413864
48,CRI,2000,77.317,13698.838714672871
49,CSS,2000,68.39767583246572,20261.144043982094
53,CYP,2000,77.9,35485.82156407281
54,CZE,2000,74.96829268292684,29182.898432055772
55,DEU,2000,77.92682926829269,49749.37304490906
57,DMA,2000,71.715,11585.719976771205
58,DNK,2000,76.59268292682927,51006.31436314367
59,DOM,2000,70.365,11567.503435927225
60,DZA,2000,70.576,15975.906320170358
61,EAP,2000,70.7357071585237,5963.871653145382
62,EAR,2000,64.21960982849338,7471.4090933086745
63,EAS,2000,71.70283232402993,10515.1470293718
64,ECA,2000,68.85705319063307,10177.899109486372
65,ECS,2000,73.11379497335439,28830.552129539938
66,ECU,2000,72.09,9600.117024777399
67,EGY,2000,67.332,9982.664382500976
68,EMU,2000,78.19977933404665,45743.79313362027
70,ESP,2000,78.96585365853659,39038.047028648885
71,EST,2000,70.41707317073173,16522.402545489753
72,ETH,2000,50.88,856.1774196670544
73,EUU,2000,77.07824507711123,40147.58039327871
75,FIN,2000,77.4658536585366,48492.43172667445
76,FJI,2000,66.194,10255.912495160674
77,FRA,2000,79.05609756097562,48182.75053232679
79,FSM,2000,64.317,4390.186343399152
80,GAB,2000,61.81,20766.856562137065
81,GBR,2000,77.74146341463415,48474.215185830464
82,GEO,2000,70.091,5829.293070073562
83,GHA,2000,58.139,4153.371312427414
85,GIN,2000,52.42,2149.551819589626
86,GMB,2000,56.899,2987.512698412701
87,GNB,2000,50.565,1785.2210027100284
88,GNQ,2000,53.395,9235.7862078978
89,GRC,2000,77.8878048780488,35813.71929926445
90,GRD,2000,72.955,12441.89739643826
92,GTM,2000,67.102,8488.908033294625
94,GUY,2000,64.075,10419.861362756494
95,HIC,2000,76.04181378920993,45628.55615364319
96,HKG,2000,80.87317073170733,51826.05870112277
97,HND,2000,68.302,4572.351751838951
98,HPC,2000,53.002670756557606,2272.895670982067
99,HRV,2000,72.8078048780488,19109.151345334896
100,HTI,2000,58.175,4062.288608207514
101,HUN,2000,71.24634146341464,20384.30920441349
102,IBD,2000,68.28696493183692,8038.482665662123
103,IBT,2000,65.65609553005511,6983.901228533319
104,IDA,2000,56.409880315336245,3356.468496191926
106,IDN,2000,66.292,7887.762185443289
107,IDX,2000,56.8420457445975,2408.258024191234
109,IND,2000,62.749,3770.8239547038356
111,IRL,2000,76.53658536585367,47982.36858304301
112,IRN,2000,70.166,20402.52574525747
113,IRQ,2000,64.86,19236.667131242757
114,ISL,2000,79.65365853658537,52554.72033488196
115,ISR,2000,78.95365853658538,44885.55663956643
116,ITA,2000,79.77804878048782,49275.74298296558
117,JAM,2000,71.281,11968.267334494783
118,JOR,2000,71.926,10401.644821912512
119,JPN,2000,81.07609756097563,50423.385056136314
120,KAZ,2000,63.793,12678.712427409999
121,KEN,2000,56.084,3442.926219512198
122,KGZ,2000,68.55853658536587,3187.8946476964793
123,KHM,2000,59.491,2204.201442121566
124,KIR,2000,64.674,4663.43445605885
125,KNA,2000,69.249,25794.621835075515
126,KOR,2000,75.90975609756099,34811.80955284555
127,KWT,2000,76.2258780487805,125930.94685443293
128,LAC,2000,70.4525183195819,15267.465040996993
129,LAO,2000,58.317,3133.2450251645396
130,LBN,2000,73.895,14737.181542779725
131,LBR,2000,51.852,1548.40597173829
132,LBY,2000,70.542,34830.026093689536
133,LCA,2000,70.779,16158.071728610155
134,LCN,2000,70.8691414957334,15556.085606368424
135,LDC,2000,55.40080396134821,2259.2792463793603
136,LIC,2000,54.143054419106015,1880.4344615627588
138,LKA,2000,71.179,7833.112562911349
139,LMC,2000,61.74640721360295,4380.237024637484
140,LMY,2000,65.67150364952089,6626.635990712713
141,LSO,2000,48.783,2951.079616724741
142,LTE,2000,71.2853076947069,8632.518262396667
143,LTU,2000,72.01951219512195,15156.161982191263
144,LUX,2000,77.87317073170732,88860.28623693387
145,LVA,2000,70.31463414634148,14281.768021680227
146,MAC,2000,80.1829268292683,57819.30063879215
148,MAR,2000,66.794,7031.584765776234
150,MDA,2000,67.462,5774.643447541623
151,MDG,2000,57.974,2222.417982965546
152,MDV,2000,70.892,14791.831165311665
153,MEA,2000,66.22251381505448,14968.114539261685
154,MEX,2000,72.562,20894.372348044926
155,MHL,2000,63.323,5920.375774293462
156,MIC,2000,66.4996894321111,6971.352127334104
157,MKD,2000,72.94634146341465,11002.790669763848
158,MLI,2000,50.605,2058.4691153697268
159,MLT,2000,78.34878048780489,32316.14345722031
160,MMR,2000,60.357,1730.571380178089
161,MNA,2000,65.63684715194778,9765.95740032935
162,MNE,2000,73.39680487804878,11494.637272551307
163,MNG,2000,63.210487804878056,6776.553193960516
165,MOZ,2000,49.476,837.9608788230746
166,MRT,2000,61.044,4226.237475803333
167,MUS,2000,71.66341463414635,16595.268708865675
168,MWI,2000,46.17,1767.0044618660486
169,MYS,2000,72.732,21805.19939024392
170,NAC,2000,76.88503324292859,65025.22743964146
171,NAM,2000,52.946,9381.51853464964
173,NER,2000,49.172,1457.3232675183906
175,NIC,2000,66.36,4918.466027874569
176,NLD,2000,77.98780487804879,57637.135230352345
177,NOR,2000,78.63414634146342,66472.1575396826
178,NPL,2000,62.642,2404.5833914053446
179,NRU,2000,59.574,12715.145509097958
180,NZL,2000,78.63658536585366,36943.1448315912
181,OED,2000,76.81951659678131,44993.96703290089
182,OMN,2000,73.643,69149.98904374763
183,OSS,2000,66.43853654447307,17975.46204373003
184,PAK,2000,61.903,4572.351751838951
185,PAN,2000,73.443,14063.169531552468
186,PER,2000,69.821,8926.105013550143
187,PHL,2000,67.789,6703.687030584597
188,PLW,2000,64.499,17232.847638404968
189,PNG,2000,61.609,3843.6901180797554
190,POL,2000,73.74878048780488,19437.049080526536
192,PRI,2000,75.514,28053.47289972902
194,PRT,2000,76.31463414634148,33846.33288811462
195,PRY,2000,70.026,11039.22375145181
196,PSE,2000,70.298,5628.911120789784
197,PSS,2000,66.89148328382969,6831.841272397895
198,PST,2000,77.35137564714374,49200.00092221719
200,QAT,2000,75.25,149102.38680797533
